weapon,type,别名,外文名,相关型号,速度参数,范围参数,尺寸参数,质量参数,数量参数,级别参数,时间,国家,相关的人与机构,作用,现状,相关地点,特点,装备
K级潜艇的鱼雷,海军弹药,,,型号:TEST-71，TEST-96;,,,长:8.2米;,,,,,国家:俄罗斯;,,,,,,
K-745鱼雷,海军弹药,,外文名:??? ??;,,,,,,,,服役:2005年;,,设计:1995年;,,,,,
Mark14型鱼雷,海军弹药,,,,,,,,,,,,,,,,,
反鱼雷技术[当代科学技术],海军弹药,,,,,,,,,,,,,,,,,
德国SUT鱼雷,海军弹药,,外文名:Germany SUTtorpedo;,,,,,,,,,,,,,,,
导引头,海军弹药,,,,,,,,,,,,,,,,,
DM2A4型鱼雷,海军弹药,,,,,,,,,,研制时间:20世纪80年代;,所属国家:德国，意大利;,研制机构:德国STN阿特拉斯电子公司和意大利塞莱尼亚公司;,,,,,
二战中的潜艇战,海军弹药,,外文名:World War II submarine warfare;,,,,,,,,,主导地位国家:德国;,,,,,,
法国E12鱼雷,海军弹药,,,,,,,,,,,,,,,,,
法国推出出口型追风系列轻护舰,海军弹药,,,,,,,,,,,,,,,,,
操雷,海军弹药,,,,,,,,,,,,,,,,,
超空化鱼雷,海军弹药,,,,,,,,,,,,,,,,,
泵喷射推进系统,海军弹药,,外文名:PumpJetThruster;,,,,,,,,出现时间:上世纪80年代;,,,,,,,
智利“法马伊”沉底水雷,海军弹药,,,,,,雷体直径:533.4mm;全长:2060mm(MS-L)，1425mm(MS-C);,,,,,,,,,,,
白头鱼雷,海军弹药,,,,,,,,,,,,,,,,,
连体水雷,海军弹药,,,,,,沉体直径:425毫米;,,,,,,,,,,特点:装下濑六棱成型火药45.7公斤;,
锚二型触发式水雷,海军弹药,,,,,,,,,,,,,,,,,
MK67潜射水雷,海军弹药,,,,,,长度:161英寸;直径:19英寸;,,,,,,,,,,,
M-4系列水雷,海军弹药,,,,,,,,,,研制时间:1973年;,,研发单位:汾西机器厂;,,,,,
水雷战舰,海军弹药,,,,,,,,,,,,,,,,特点:隐蔽性好、布设简便、造价低;,
G2型沉底雷,海军弹药,,,,,,长:2米;直径:0．6米;,总重:730千克;,,,,,,,,,,
航空水雷,海军弹药,,,,,,,,,,,,,,,,属性:纯防御武器;性质:常规水中兵器;,
磁性水雷,海军弹药,,,,,,,,,,,,研制:由德国在第二次世界大战首先研制;,,,,性质:触发性;,
反潜火箭深弹,海军弹药,,,,,,,,,,,,,用途:反潜艇;,,,,
水雷[武器],海军弹药,,,,,,,,,,,,,,,,,
墨西哥夸乌特莫克号风帆训练舰,训练舰,,,,,,,,,,服役时间:1982年6月29日;,,,,,,,
世昌号国防动员舰,训练舰,,,,,,,,,,服役时间:1996年12月28日;,,,,,,性质:综合训练舰;,
“斯莫尔尼”级训练舰,训练舰,,,,,,,,,,,国家:俄罗斯;,,,,,,武器装备:以舰炮为主;
926型潜艇支援舰,辅助船,,,,,,,,,,服役时间:2010年;,国家:中国;,,,,,,
勘查一号 深潜器母船,辅助船,,,,,,,满排吨位:500-2000吨;,,,,所属国家:中国;,,,,,,
勘查四号 声跟踪辅助工作船,辅助船,,,,航速:15.5节;,,舰长:52.4米;型宽:8.2米;,满排吨位:500-2000吨;满载排水量:615吨;,,,建造时间:1987年;,,,,,,,
894 李四光号试验舰,辅助船,,,,,,,,,,,国家:中国大陆;,服役部队:中国海军;,,,,,
向阳红5号海洋调查船(退役),辅助船,,,,航速:16kn;,,总长:152.6m;型宽:19.5m;,满排吨位:10000-50000吨;,,,下水时间:1966年下水;服役时间:1970年;,,服役单位:国家海洋局;,,现状:现已退役;,,性质:中国海洋科学调查船;,
南救510打捞救生船,辅助船,,英文名:填写此处;,,航速:填写此处;,,舰宽:填写此处;舰长:填写此处;,排水量:填写此处;,,,,国家:;,,作用:填写此处;,,,,
862 崇明岛号远洋打捞救生船,辅助船,,,,航速:20节;,,舰长:156.2米;型宽:20.6米;,"满排吨位:10000-50000吨;满载排水量:13,050吨;",编制:298人;,,,所属国家:中国;,研制机构:江南造船厂;,,,,,
北救122打捞救生船,辅助船,,,前型:沪东级;次型:大东级;,航速:16节;,,舰长:115米;型宽:14.6米;,,编制:180人;,,下水时间:1983年5月20曰;服役时间:1987年3月16日;建造时间:1982年12月20曰;,,,,现状:现役;,,,
列宁号核动力破冰船,辅助船,,,,,,舰长:134.0米;型宽:27.6米;,水上排水量:0.0吨;,,,下水时间:1957年;服役时间:1959年12月7日;,国家:苏/俄;,,,,,,
刘公岛号潜艇救援舰（865）,辅助船,,,,,,,,,,下水时间:2012年;,,,,现状:在役;,,,
庄河号集装箱医院船(865),辅助船,,,,,,,,,,,,,,现状:在役;,,,
勘察四号声跟踪辅助工作船,辅助船,,,,航速:15.5节;,,舰长:52.4米;型宽:8.2米;,满排吨位:500-2000吨;满载排水量:615吨;,,,建造时间:1987年;,,,,,,,
李四光号测量船（871）,辅助船,,,,,,,,,,服役时间:1998年;,,,,,,,
远望6号,辅助船,,,型宽:25.2米;,航速:＞18节;,续航力:18000海里;,船长:222.2米;型宽:25.2米;,排水量:25000吨;,,,开建日期:2006-04;交付日期:2008-4-12;下水日期:2007-3-16;,,使用单位:中国卫星海上测控部;建造单位:江南造船厂;设计单位:中船集团公司第708研究所;,,,,,
远望5号,辅助船,,,,,,,"满排吨位:10000-50000吨;满载排水量:25,000吨;",,,服役时间:2007年9月29日;,,,,,,,
华罗庚号综合试验舰（892）,辅助船,,,,,,,,,,,国家:中国;,,,,,,
南救502近海潜水救生船 ,辅助船,,,,航速:18节;,,舰长:79米;型宽:9.5米;,"满排吨位:500-2000吨;满载排水量:1,100吨;",编制:130人;,,下水时间:1977年5月5日;服役时间:1978年2月;建造时间:1974年7月25日;,,,,,,,
南救503打捞救生船 ,辅助船,,,,航速:20节;,,舰长:113.5米;型宽:15.5米;,"水上排水量:4,450吨;",,,下水时间:1973年9月27日;服役时间:2006年11月27日;建造时间:1971年9月20日;,,,,,,,
068型航道测量船 ,辅助船,,,前型:068型登陆艇;,,,,,,,,,,,,,,
625/625B型调查船,辅助船,,,,航速:15节;,,舰长:104.27米;型宽:13.74米;,,,,,,,,,,,
海救512号氦氧救生船,辅助船,,,,航速:17节;,,舰长:85米;型宽:13.5米;,"满排吨位:2000-5000吨;满载排水量:2,500吨;",,,建造时间:1965年;,,,,,,,
远望4号测量船,辅助船,,,,航速:20节;,,舰长:156.2米;型宽:20.6米;,"满排吨位:10000-50000吨;满载排水量:12,700吨;",,,建造时间:1998年;,,,,现状:已退役;,,,
远望2号测量船,辅助船,,,,航速:20节;,,舰长:192米;型宽:22.6米;,"满排吨位:10000-50000吨;满载排水量:21,000吨;",,,下水时间:1977年;建造时间:1977年;,,,,,,,
614I型海洋水文天气调查船,辅助船,,,,航速:15.1节;,,舰长:66.22米;型宽:10.2米;,"水上排水量:1,120吨;",,,下水时间:1969年;建造时间:1967年;,,,,,,,
勘查二号 深潜器母船,辅助船,,,,航速:14节;,,舰长:71.55米;型宽:10.5米;,"水上排水量:1,327吨;",,,下水时间:1983年5月;,,,,现状:在役;,,,
646型扫海测量船,辅助船,,,,航速:15.51节;,,舰长:60米;,满排吨位:500-2000吨;满载排水量:676吨;,,,下水时间:1982年7月25日;建造时间:1978年12月;,,,,,,,
890 巢湖号补给舰,辅助船,,,,,,舰长:178.5米;型宽:24.8米;,"满排吨位:10000-50000吨;满载排水量:23,000吨;",,,下水时间:2012年5月7日;服役时间:2013年9月12日;,,,,,,,
595型中型水声调查船 ,辅助船,,,,航速:15节;,,舰长:65.22米;型宽:10.2米;,"水上排水量:1,165吨;",编制:82人;,,下水时间:1972年;服役时间:1973年;建造时间:1967年9月;,,,,,,,
927型海洋水声监视船,辅助船,,,,,,舰宽:30米;舰长:90米;,排水量:5000吨;,,,,国家:中国;,,作用:海洋水声监视船;,,,,
东救332打捞救生船,辅助船,,,,,,,,,,,,,,,,,
北救138打捞救生船,辅助船,,,,,,,,,,,,,,,,,
东修911潜艇修理舰,辅助船,,,,航速:15.1节;,,舰长:84米;型宽:12.4米;,"水上排水量:1,962吨;",,,建造时间:1980年7月;,,,,现状:在役;,,,
861 长兴岛号远洋打捞救生船,辅助船,,,,航速:20节;,,舰长:156.2米;型宽:20.6米;,"满排吨位:10000-50000吨;水上排水量:10,230吨;满载排水量:13,050吨;",,,下水时间:1979年8月27日;服役时间:1983年10月;建造时间:1978年11月;,,,,现状:在役;,,,
东救304近海潜水救生船,辅助船,,,,航速:18节;,潜航深度:2.7米;,舰长:82米;型宽:11米;,"满排吨位:500-2000吨;满载排水量:1,500吨;",编制:150人;,,建造时间:1982年12月;,,,,,,,
863 永兴岛号远洋打捞救生船,辅助船,,,,,,,,,,,,,,,,,
南救502近海潜水救生船,辅助船,,,,航速:18节;,,舰长:79米;型宽:9.5米;,"满排吨位:500-2000吨;满载排水量:1,100吨;",编制:130人;,,下水时间:1977年5月5日;服役时间:1978年2月;建造时间:1974年7月25日;,,,,,,,
北救137近海潜水救生船,辅助船,,,,航速:18节;,,舰长:79米;型宽:9.5米;,"满排吨位:500-2000吨;满载排水量:1,100吨;",编制:180人;,,下水时间:1977年5月5日;服役时间:1977年12月26日;建造时间:1970年1月22日;,,,,,,,
南救503打捞救生船（退役）,辅助船,,,,,,,,,,下水时间:1973年9月27日;服役时间:2006年11月27日;建造时间:1971年9月20日;,,,,,,,
海救512号氦氧救生船,辅助船,,,,航速:17节;,,舰长:85米;型宽:13.5米;,"满排吨位:2000-5000吨;满载排水量:2,500吨;",,,建造时间:1965年;,,,,,,,
866 岱山岛号医院船,辅助船,,,,,,,,,,时间:2008年12月22日;,国家:中国;,,,,,,
未知型号快速医疗救助艇,辅助船,,,,,,,,,,,,,,,,,
865 庄河号集装箱医院船,辅助船,,,,,,,,,,,,,,现状:在役;,,,
832 医院船,辅助船,,,,航速:16节;,续航距离:最大3000海里;潜航深度:7.3米;,舰长:86米;型宽:13.4米;,"满排吨位:2000-5000吨;满载排水量:2,150吨;",,,,,,,现状:在役;,,,
833 南康号,辅助船,,,,航速:16节;,续航距离:最大3000海里;潜航深度:3.9米;,舰长:86米;型宽:13.4米;,"满排吨位:2000-5000吨;满载排水量:2,150吨;",,,下水时间:1981年;服役时间:1981年;建造时间:1980年;,,,,,,,
859?金星号电子侦察船,辅助船,,,,,,,,,,,,,,,,,
856 开阳星号,辅助船,,英文名称:Kaiyangxing electronic surveillance ship;,前型/级:815A型电子侦察船;,,,,,,,服役时间:2017年1月;,国家:中国;,,,,,,
852 海王星侦察船,辅助船,,,,航速:19节;,潜航深度:5.5米;,舰长:112.22米;型宽:15.2米;,"满排吨位:2000-5000吨;满载排水量:4,590吨;",编制:150人;,,建造时间:1982年9月;,,,,,,,
855 电子侦察船,辅助船,,,,航速:20节以下;,,,满载排水量:500吨以上;,,,,,,,,,,
854 天狼星号侦查船,辅助船,,,,,,,,,,,国家:中国大陆;,服役部队:中国海军;,,,,,
853 天王星号侦察船,辅助船,,,,,,,,,,服役时间:1982年11月;研制时间:1980～1982年;,国家:中国;,建造单位:上海沪东造船厂;设计单位:708研究所;,,,,,
851号情报收集船,辅助船,,,,,,,,,,,,,,,,,
北调900 侦察船,辅助船,,,,航速:20.03节;,潜航深度:4.04米;,舰长:94.33米;型宽:11.6米;,"满排吨位:2000-5000吨;满载排水量:2,198吨;",编制:152人;,,下水时间:1986年6月12日;服役时间:1986年;建造时间:1983年12月22曰;,,,,现状:现役;,,,
852 海王星侦察船(已退役),辅助船,,,,最大航速:19节;,续航力:12000海里/17节;,,满载排水量:4590吨;,,,,,,,,,,
远望7号,辅助船,,外文名:YUAN WANG 7;,型宽:27.2米;,航速:＞18节;,续航力:18000海里;,船长:224.9米;型宽:27.2米;,满载排水:27000吨;,,,入列日期:2016年7月12日;开工日期:2014年10月10日;,,建造单位:江南造船厂;设计单位:中船集团公司第708研究所;,,,,,
远望22号,辅助船,,,,,,,,,,下水时间:2013年1月24日;服役时间:2013年6月28日;,,,,现状:在役;,,,
远望21号,辅助船,,,,,潜航深度:5.8米;,舰长:130米;型宽:19米;,"满排吨位:5000-10000吨;满载排水量:9,080吨;",,,下水时间:2012年11月29日;服役时间:2013年5月6日;建造时间:2012年4月1日;,,,,现状:在役;,,,
远望6号,辅助船,,,,,,舰长:222.2米;型宽:25.2米;,"满排吨位:10000-50000吨;满载排水量:24,966吨;",,,下水时间:2007年3月16日;服役时间:2008年7月;建造时间:2006年4月;,,,,,,,
远望5号,辅助船,,,,,,,"满排吨位:10000-50000吨;满载排水量:25,000吨;",,,服役时间:2007年9月29日;,,,,,,,
远望3号,辅助船,,,,航速:18节;,,舰长:180米;,"满排吨位:10000-50000吨;满载排水量:17,000吨;",,,服役时间:1995年;建造时间:1995年5月;,,,,,,,
远望4号(退役),辅助船,,,,,,,,,,时间: 2011年12月14日 ;,国籍: 中国 ;,,,,,,
远望2号,辅助船,,,,航速:20节;,,船长:192米;宽:22.6米;高:38.5米;,满排吨位:10000-50000吨;,,,下水时间:1977年;退役日期:2019年4月28日;,,,,,,,
远望1号(已退役),辅助船,,,型宽:22.6米;,,,总长:191米;型宽:22.6米;,,,,,,,,,,,
876 钱伟长号,辅助船,,,,,,,,,,,,,,,,,
向阳红03 综合科考船,辅助船,,外文名:XIANG YANG HONG 03;,型宽:17.8米;型深:8.9米;,最大航速:15节;,续航能力:15000海里;,吃水:5.6米;船长:99.6米;型宽:17.8米;,,,,下水时间:2015年7月31日;,,使用单位:国家海洋局第三海洋研究所;建造单位:武昌船舶重工集团有限公司;设计单位:中船集团公司第七〇八研究所;,,,,,
874 邓稼先号测量船,辅助船,,,,,,,,,,,,,,,,,
873 钱学森号测量船,辅助船,,,,,,,,,,,国家:中国;,,,,,,
海洋二十二 钱三强号测量船,辅助船,,,,,,,,,,,,,,,,,
872 竺可桢号测量船,辅助船,,,,航速:17.5节;,,舰长:129.28米;型宽:17米;,"满排吨位:5000-10000吨;满载排水量:5,883吨;",编制:134人;,,建造时间:2003年5月;,,,,现状:在役;,,,
未知型号航道测量船,辅助船,,,,,,,,,,,,,,,,,
北调991双体水声测量调查船,辅助船,,,,,,,,,,,,,,,,,
871李四光号测量船(退役),辅助船,,,,,,,,,,服役时间:1998年8月;退役时间:2012年11月16日;,国家:中国;,建造单位:芜湖造船厂;,,,,,
北调992双体测量调查船,辅助船,,,,,,,,,,,,,,,,,
069型航道测量船,辅助船,,,前型:069型登陆艇;,,,,,,,,,,,,,,
646型扫海测量船,辅助船,,,,航速:15.51节;,,舰长:60米;,满排吨位:500-2000吨;满载排水量:676吨;,,,下水时间:1982年7月25日;建造时间:1978年12月;,,,,,,,
625C型海洋测量船,辅助船,,,,航速:19节;,,舰长:104米;,"满排吨位:2000-5000吨;满载排水量:3,324吨;",编制:38人;,,下水时间:1981年;服役时间:1981年;建造时间:1980年;,,,,,,,
645型海洋综合调查船,辅助船,,,,航速:18节;,,舰长:112.05米;型宽:15.2米;,"满排吨位:2000-5000吨;满载排水量:4,435吨;",,,下水时间:1978年;服役时间:1978年;建造时间:1977年;,,,,现状:在役;,,,
068型航道测量船,辅助船,,,前型:068型登陆艇;,,,,,,,,,,,,,,
614III型海洋综合调查船,辅助船,,,前型:614II海洋水文天气船;,航速:17.8节;,,舰长:74米;型宽:4.7米;,"水上排水量:1,170吨;",,,下水时间:1972年4月20日;服役时间:1974年9月26日;建造时间:1971年6月;,,,,现状:现役;,,,
595型中型水声调查船,辅助船,,,,航速:15节;,,舰长:65.22米;型宽:10.2米;,"水上排水量:1,165吨;",编制:82人;,,下水时间:1972年;服役时间:1973年;建造时间:1967年9月;,,,,,,,
614II型海洋水文天气调查船,辅助船,,,前型:614I;,航速:17.5节;,,舰长:74米;型宽:10米;,"水上排水量:1,179吨;",,,下水时间:1971年;建造时间:1968年;,,,,现状:现役;,,,
625/625B型调查船,辅助船,,,,航速:15节;,,舰长:104.27米;型宽:13.74米;,,,,,,,,,,,
6610型(曙光级)海洋调查船,辅助船,,,,,,,,,,,,,,,,,
635型中型海道测量船,辅助船,,,,,,,,,,建造时间:1970年;,,,,,,,
614I型海洋水文天气调查船,辅助船,,,,航速:15.1节;,,舰长:66.22米;型宽:10.2米;,"水上排水量:1,120吨;",,,下水时间:1969年;建造时间:1967年;,,,,,,,
895号综合试验舰,辅助船,,,,,,,,,,,,,,,,,
893 试验舰,辅助船,,,,,,,,,,下海时间:2011年;,所属国家:中国;,,,现状:在役;,,,
北调990 铝合金穿浪双体试验船,辅助船,,,,,,船长:60米，;,,,,,,,,,,,
892 华罗庚号综合试验舰,辅助船,舷号:892.0;,,定型:FL3000N近程防空导弹;,,,,,,,,,隶属:中国人民解放军海军;,,,,,
北调993 综合试验船,辅助船,,,,航速:16节;,续航距离:1500海里;,舰长:86.4米;型宽:14.6米;,"水上排水量:2,300吨;",编制:30人;,,服役时间:2000年12月28日;,,,,现状:在役;,,,
试验216 小型穿浪双体试验船,辅助船,,,,,,船长:60米，;,,,,,,,,,,,
891 毕升号综合试验舰,辅助船,,,,航速:18节;,,,"满排吨位:2000-5000吨;满载排水量:4,630吨;",,,服役时间:1997年;,,,,,,,
勘察三号 深水兵器试验船,辅助船,,,,,,,,,,下水时间:1986年10月;服役时间:1987年1月;建造时间:1984年12月;,,,,,,,
勘查二号 深潜器母船,辅助船,,,,航速:14节;,,舰长:71.55米;型宽:10.5米;,"水上排水量:1,327吨;",,,下水时间:1983年5月;,,,,现状:在役;,,,
海声582 小型水声工作船,辅助船,,,,航速:15节;,,舰长:54米;型宽:8.5米;,满排吨位:500-2000吨;满载排水量:590吨;,,,建造时间:1965年;,,,,,,,
83 戚继光号,辅助船,,,前型/级:郑和舰;,,,,,,,服役时间:2017年2月21日;,国家:中华人民共和国;,,,,,,
海冰723 破冰船,辅助船,,,,,,,,,,服役时间:1970年;研制时间:1969年;定型时间:1969年;,国家:中国;,,,,,,
海冰722 破冰船,辅助船,,,,,,,,,,服役时间:2015年12月（第二代）;,国家:中国;,,,,,,
868 东海岛,辅助船,舷号:868.0;,,,,,宽度:32.4米;长度:175.5米;,排水量:20000余吨;,,,入列时间:2015年7月10日;,,,,,,性质:半潜船;,
88 徐霞客号,辅助船,舷号:88.0;,,,,最大航程:17节;,,排水量:约23000吨;,,舰级:二级乙等;,,,建造单位:中船集团所属433厂;,,,,,
82 世昌号国防动员船,辅助船,,,,,,,,,,服役时间:1996年12月28日;,,,,,,性质:综合训练舰、国防动员舰;,
11管30mm近防炮,海基火炮,,,前型:H/PJ-12型7管30毫米炮（730型）;,,,,,,,,,,,,,特点:同时配有雷达、红外线追踪系统;,
H/PJ17型单管30mm舰炮,海基火炮,,,,,,,,,,定型时间:2010年;,国家:中国;,,,,,,
H/PJ14型单管30mm舰炮,海基火炮,,英文名称:HPJ14-1-30;,,,,,,,,,国家:中国;,,,,,,
730型30毫米近防炮系统,海基火炮,简称:H/PJ12;,外文名:The type 730 nearly 30 mm artillery systems;,,,,,,,,,,,,,,,
AK630六管30MM自动炮,海基火炮,,,,,,,,,,,国家:俄罗斯;,,,,,,
76F型双管37毫米舰炮,海基火炮,,外文名:Type 76F 37mm dual gun;,,,,,,,,,,,,,,,
卡什坦 弹炮合一近程防御系统,海基火炮,,,,,,,,,,,产国:俄罗斯;,,,,,,
76A式双37MM自动炮,海基火炮,,,,射速:2X400发/分;炮弹初速:1000米/秒;,最大射程:9400米;,,,,,,,,,,,,
715Ⅱ型弹炮合一系统,海基火炮,,,,,,,,,,,,,,,,,
69式双管30毫米舰炮,海基火炮,,,前型/级:KJI302;,,,,,,,,国家:中国;,,,,,,
69式14.5mm双管舰用机枪,海基火炮,,,,,,,,,,,,,,,,,
61式25毫米双联装高射炮,海基火炮,,,,,,,,,,,国家:中国大陆;,,,,,,
61式/76式双管37毫米舰炮,海基火炮,,,,初速:：８６８米／秒;射速:：３２０－３６０发／分;,,,,,,,,研制:１９５８年开始;,,,,,
59式双联装14.5毫米机枪,海基火炮,,,,,,,,,,,,,,,,,
H/PJ38型单管130mm舰炮,海基火炮,,,,,射程:30公里;,口径:130毫米;,,,,制造时间:2005年;,研制国家:中国;,研制厂商:郑州机电工程研究所;,,,,,
PJ26型单管76MM隐身舰炮,海基火炮,,,,射速:60~120发/分;,射程:11.5~15.5km;,,全重:16.5吨（含下甲板装弹机）;,,,,,,,,,,
79A式双100MM自动炮,海基火炮,,,,,,,,,,,研制国家:中国;,,,,,特点:有一定的隐身能力;,
AK-130型舰炮,海基火炮,,,,,"最大射程:29,500米;",口径:大口径炮;,,,,研发时间:20世纪80年代;,,,,,,,
H/PJ-87式单管100毫米舰炮,海基火炮,,,,,,,,,,,国家:中国;,,,,,属性:单管自动舰炮;特点:隐身性增加;,
76式130毫米双管舰炮,海基火炮,,,,,,,,,,,国家:中国大陆;,,,,,,
79式双100MM自动炮,海基火炮,,,,,,,,,,,研制国家:中国;,,,,,特点:有一定的隐身能力;,
法T100C紧凑型100毫米单管自动舰炮,海基火炮,,,,,,口径:100毫米;,,,,,研制国家:法国;,,,,,,
66式双57MM舰炮,海基火炮,,,,,,,,,,研制时间:1963年;生产时间:1983年;,,所属:中国;,,,,,
61式100毫米舰炮,海基火炮,,,,炮口初速:895m/s;射速:12发/分;,,,,,,,,,,,,,
B-13型130毫米舰炮,海基火炮,,,,射速:6-8发/分;,有效射程:14000-15000米;,,,,,,,,,,,,
“卡什坦”舰载弹炮结合近程防空系统,海基火炮,,,,,,,,,,,产国:俄罗斯;,,,,,,
AK-176舰炮,海基火炮,,,,,,,,,,,国家:俄罗斯;,,用途:多功能、多用途、高平两用;,,,,
奥托·梅莱拉76mm舰炮,海基火炮,,外文名称:OTO Melara 76 mm gun;,,,,,,,,研发时间:1963-1967;生产日期:1969(基本型);,,研发单位:意大利奥托梅莱拉公司;,,,,,
法国100毫米紧凑型舰炮,海基火炮,,外文名:Compact Naval Gun;,,射速:10~90发/分;,,,,,,,,,,,,,
火炮稳定器,海基火炮,,,,,,,,,,,,,作用:使火炮不受车体震动和转向的影响;,,,,
李文厚,海基火炮,,,,,,,,,性别:男;,,国籍:中国;,,,,,,
MK45型舰炮系统,海基火炮,,外文名:无;,,,,,,,,,,,,,,特点:KO200HN”级护卫舰;,
MK7舰炮,海基火炮,,,装备舰型:依阿华级战列舰;,,,炮管长度:816.0英寸;,,,,服役时间:1943年;,所属国家:美国;,,,,,,
MK45Mode4型舰炮,海基火炮,,,,,最远射程:达到63nm;,,,,,,,,作用:海上火力支援中;,,,,
MK30舰炮,海基火炮,,,,,,口径:127毫米;,炮全重:18552～18779公斤;,,,,,,,,,,
MK45舰炮,海基火炮,,,,,,,,,,,设计国:美国;,,,,,,
守门员近迫武器系统,海基火炮,,外文名:Goalkeeper CIWS;,,,,,,,,,,,,,,属性:荷兰皇家海军所用的近迫武器系统;,
TMF155毫米舰炮,海基火炮,,,,,,,,,,,国家:英国;,研制:英国BAE系统公司;,,,,,
先进舰炮系统,海基火炮,,外文名:Advanced Gun System;,,,,,,,,,,设计:1996年;研制:BAE系统公司、洛克希德·马丁;,,,,,
意大利布雷达双管40L／70舰炮,海基火炮,,,,,,口径:40mm;,,,,时间:20世纪50年代;,,,,,,,
69式30毫米双管舰炮,海基火炮,,,前型/级:KJI302;,,,,,,,,国家:中国;,,,,,,
NAF TS-1舰载水上飞机,舰载飞机,,,,最大飞行速度:198.0千米/小时;飞行速度:亚音速;,最大航程:775.0千米;,机高:2.9米;机长:6.73米;,空重:562.0千克;最大起飞重量:967.0千克;,乘员:1.0人;,,服役时间:1922年12月;退役时间:1929.0;,,研发单位:海军飞机制造厂;,,,,,气动布局:平直翼;发动机:莱特（劳伦斯，Lawrance）J-4发动机;发动机数量:1.0;
格鲁曼FF/SF战斗机,舰载飞机,,,,最大飞行速度:333.0千米/小时;飞行速度:亚音速;,最大航程:1480.0千米;,机高:3.4米;机长:7.47米;,空重:1500.0千克;最大起飞重量:2190.0千克;,乘员:2.0人;,,服役时间:1933年;退役时间:1940.0;,,生产单位:格鲁曼公司;研发单位:格鲁曼公司;,,,,,气动布局:平直翼;发动机:莱特R-1820-78“旋风”发动机;发动机数量:1.0;
别-6/青-6水上反潜机,舰载飞机,,,,,,,,,,投产服役时间:1950年;首次试飞时间:1949年;,,,,,,,
062型(上海级)高速护卫艇,舰载飞机,,,,航速:30节;,续航:600海里;航程:700公里;,舰长:38.7米;型宽:5.3米;,排水量:134吨（满载）;,编制:38人;,,服役时间:1962年;,,,,,,,
SB2C“地狱俯冲者”舰载轰炸机,舰载飞机,,,,,,,,,,服役时间:1938年-1943年;,,,,,,,
AM“拳师”舰载攻击机,舰载飞机,,,,最大飞行速度:590.0千米/小时;飞行速度:亚音速;,最大航程:2898.0千米;,机高:5.1米;机长:12.56米;,空重:6575.0千克;最大起飞重量:10605.0千克;,乘员:1.0人;,,服役时间:1948年3月;,,研发单位:格伦·马丁公司;,,,,,气动布局:平直翼;发动机:普-惠R-3350-4发动机;
EA6B电子干扰机,舰载飞机,,,,最大飞行速度:958.0千米/小时;飞行速度:亚音速;,最大航程:1770.0千米;,机高:4.95米;机长:18.24米;,空重:14320.0千克;最大起飞重量:29895.0千克;,乘员:4.0人;,,服役时间:1971年1月;,,生产单位:格鲁曼公司;,,,,,气动布局:平直翼;发动机:两台普-惠J52-P-408发动机;发动机数量:2.0;
F4D/F-6“天光”舰载战斗机,舰载飞机,,,,最大飞行速度:1112.0千米/小时;飞行速度:超音速;,最大航程:1920.0千米;,机高:3.96米;机长:13.9米;,空重:7250.0千克;最大起飞重量:11340.0千克;,乘员:1.0人;,,服役时间:1956年4月;,,生产单位:美国道格拉斯飞机公司;,,,,,气动布局:三角面;发动机:一台普-惠J57-P-8发动机;发动机数量:1.0;
F9F黑豹舰载战斗轰炸机,舰载飞机,,外文名:F9F fighter;,次型/级:F-11战斗机;,最大飞行速度:925千米/小时;飞行速度:亚音速;,最大航程:2100千米;,机高:3.74米;机长:10.06米;,空重:4220千克;最大起飞重量:8492千克;,乘员:1人;,,服役时间:1958年;研制时间:1945年-1947年;定型时间:1947年11月24日;,国家:美国;,生产单位:格鲁曼公司;研发单位:格鲁曼公司;,,,,,气动布局:平直翼;发动机:普-惠J42-P-6A发动机;发动机数量:1.0;
卡曼SH-2G“超海妖”轻型舰载多用途直升机,舰载飞机,,,,,,,,,,,国家:美国;,研发单位:卡曼公司;,,,,,
卡-27舰载反潜直升机,舰载飞机,,,,,,,,,,定型时间:1974年12月原型机首次试飞;,国家:苏联卡莫夫设计局;,,,,,,
X-47舰载无人战斗机,舰载飞机,,,,最大飞行速度:800.0千米/小时;飞行速度:亚音速;,最大航程:3889.0千米;,机高:1.86米;机长:11.63米;,空重:6350.0千克;最大起飞重量:20215.0千克;,,,,,研发单位:美国诺斯罗普-格鲁曼公司;,,,,,气动布局:飞翼;发动机:普-惠JTI5D-5C-TF发动机;发动机数量:1.0;
RQ-8“火力侦察兵”舰载战术无人直升机,舰载飞机,,,,最大飞行速度:213.0千米/小时;飞行速度:亚音速;,最大航程:639.0千米;,机高:2.87米;机长:6.97米;,空重:661.0千克;最大起飞重量:1157.0千克;,,,,,研发单位:美国诺斯罗普－格鲁曼公司;,,,,,气动布局:单旋翼;发动机:阿里逊／罗-罗250-C20W发动机;发动机数量:1.0;
F/A-18E/F/G“超级大黄蜂”舰载攻击/战斗机,舰载飞机,,外文名:F/A-18 STRIKE FIGHTER;,前型/级:F-14战斗机（用途）;,,,,,乘员:2人;建造数量:1458架以上;,,服役时间:1983年1月7日;研发日期:1974年;首飞时间:1974年6月9日;,国家:美国;,研发单位:麦道公司（现波音公司）;,,,,,
