weapon,别名,时间,国家,特点,作用
H/PJ14型单管30mm舰炮,无,2009年应,中国,暂无介绍,暂无介绍
730型30毫米近防炮系统,无,暂无介绍,中国,暂无介绍,该舰炮主要用于拦截反舰导弹和对我舰攻击的飞机、直升机，也可对海面目标实施射击
AK630六管30MM自动炮,无,1963年开始研制,俄罗斯,暂无介绍,暂无介绍
76F型双管37毫米舰炮,无,暂无介绍,未知,暂无介绍,暂无介绍
卡什坦 弹炮合一近程防御系统,无,暂无介绍,俄罗斯,暂无介绍,“卡什坦”是俄罗斯生产的防空系统，主要用于防御精确制导武器、飞机和直升机的空袭，也能攻击海上小型目标，“卡什坦”是俄罗斯“栗树”舰载弹炮结合防空系统的出口型，是世界上唯一一种将大威力火炮、多用途导弹和一体式雷达一光电火控系统集成在一个炮塔上的防空系统
76A式双37MM自动炮,无,暂无介绍,未知,口径：37毫米,暂无介绍
69式双管30毫米舰炮,无,1973年定型,中国,暂无介绍,暂无介绍
61式25毫米双联装高射炮,无,1961年仿制,中国,1961年式双联25舰炮是一种小口径半自动舰炮,用于对空、对海和岸上目标射击
61式/76式双管37毫米舰炮,无,1961年生产,中国,暂无介绍,暂无介绍
H/PJ38型单管130mm舰炮,无,2005年立项研制,俄罗斯,而火炮电气控制和瞄准随动系统则全部采用国产化全新设计,暂无介绍
PJ26型单管76MM隐身舰炮,无,2000年确定出任,俄罗斯,该炮是056型护卫舰采用的主炮，也为054A型护卫舰采用的主炮,暂无介绍
79A式双100MM自动炮,无,暂无介绍,未知,暂无介绍,七九式双100毫米舰炮主要装备于中型舰艇，其任务是进行海上作战、用于防空自卫、杀伤和摧毁岸上目标
AK-130型舰炮,无,暂无介绍,俄罗斯,能够执行反舰、防空、对岸火力支援等多种任务,俄罗斯AK-130多用途双管舰炮由圣彼德堡的阿美第斯特设计局和弗伦泽军火设计局设计
H/PJ-87式单管100毫米舰炮,无,暂无介绍,法国,暂无介绍,暂无介绍
76式130毫米双管舰炮,无,1966年开始研制,中国,暂无介绍,暂无介绍
79式双100MM自动炮,无,暂无介绍,中国,暂无介绍,暂无介绍
法T100C紧凑型100毫米单管自动舰炮,无,1984年完成,法国,暂无介绍,紧凑型100毫米舰炮，法国70年代中期在原有100毫米舰炮基础上改进和发展的舰炮，1984年完成研制工作，用于攻击海上目标和防空，也可反导弹和执行对岸轰击任务
66式双57MM舰炮,无,1963年开始研制,未知,暂无介绍,暂无介绍
61式100毫米舰炮,无,暂无介绍,苏联,56倍口径,暂无介绍
B-13型130毫米舰炮,无,暂无介绍,苏联,暂无介绍,暂无介绍
“卡什坦”舰载弹炮结合近程防空系统,无,暂无介绍,俄罗斯,暂无介绍,“卡什坦”是俄罗斯生产的防空系统，主要用于防御精确制导武器、飞机和直升机的空袭，也能攻击海上小型目标，“卡什坦”是俄罗斯“栗树”舰载弹炮结合防空系统的出口型，是世界上唯一一种将大威力火炮、多用途导弹和一体式雷达一光电火控系统集成在一个炮塔上的防空系统
AK-176舰炮,无,暂无介绍,俄罗斯,俄罗斯的AK-176舰炮是一种全封闭式遥控自动中口径舰炮,暂无介绍
法国100毫米紧凑型舰炮,无,1984年完成,法国,暂无介绍,法国100毫米紧凑型舰炮(Compact Naval Gun)是法国70年代中期在原有100毫米舰炮基础上改进和发展的舰炮，1984年完成研制工作，用于攻击海上目标和防空，也可反导弹和执行对岸轰击任务
MK45Mode4型舰炮,无,暂无介绍,未知,暂无介绍,暂无介绍
NAF TS-1舰载水上飞机,无,暂无介绍,美国,起飞时必须能够探入水中,暂无介绍
格鲁曼FF/SF战斗机,无,1933年12月飞,美国,暂无介绍,暂无介绍
别-6/青-6水上反潜机,无,1949年试飞,中国,最大速度最大时速415公里,暂无介绍
062型(上海级)高速护卫艇,无,1962年服役,罗马尼亚,暂无介绍,暂无介绍
SB2C“地狱俯冲者”舰载轰炸机,无,暂无介绍,美国,是当时载重量最大的轰炸机,暂无介绍
AM“拳师”舰载攻击机,无,1948年3月进入服役,美国,暂无介绍,暂无介绍
EA6B电子干扰机,无,1966年研制,美国,暂无介绍,暂无介绍
F4D/F-6“天光”舰载战斗机,Sky ray或Skyray,1951年1月23日飞,美国,暂无介绍,暂无介绍
F9F黑豹舰载战斗轰炸机,无,1947年11月24日飞,美国,暂无介绍,暂无介绍
卡曼SH-2G“超海妖”轻型舰载多用途直升机,“海妖”,暂无介绍,美国,暂无介绍,“海妖”是卡曼公司为美国海军研制的全天候多用途舰载直升机，可用于执行搜索求援、观察和通用任务，现在主要是支援美国舰队在地中海、大西洋和太平洋执行反潜和反舰导弹防御任务
卡-27舰载反潜直升机,无,暂无介绍,未知,暂无介绍,暂无介绍
X-47舰载无人战斗机,“飞马”,2003年2月23日飞,美国,暂无介绍,暂无介绍
RQ-8“火力侦察兵”舰载战术无人直升机,火力侦察兵,暂无介绍,美国, RQ-8无人机高超的侦察能力是“火力侦察兵”的主要特点，它携带通用原子公司提供的具有地面活动目标指示器的Lynx合成孔径雷达,RQ-8无人机(绰号：火力侦察兵)，是美国诺斯罗普-格鲁曼公司研制的下一代舰载垂直起降战术无人机，用于执行侦查和瞄准任务，军方编号RQ-8A
F/A-18E/F/G“超级大黄蜂”舰载攻击/战斗机,Hornet,1974年6月9日飞,美国,暂无介绍,F/A-18战斗攻击机（英文：F/A-18 STRIKE FIGHTER，绰号：Hornet，译文：大黄蜂，亦称：Hornet Strike Fighter，译文：大黄蜂攻击战斗机，通称：波音F-18“大黄蜂”，正式编号：F/A-18），是美国海军一型单座/双座双发后掠翼超音速喷气式多用途舰载战斗机 ，作为美国海军最重要的舰载机，其用途广泛，既可用于海上防空，也可进行对地攻击 
H-53E“超级种马/海龙”重型多功能直升机,无,暂无介绍,美国,具有3部7500轴马力的涡轴发动机,暂无介绍
SH-60“海鹰”直升机,Seahawk,暂无介绍,美国,可以部署在具有航空机操作甲板的航空母舰、驱逐舰、护卫舰、两栖舰等海军舰艇上,暂无介绍
A3D/A-3“空中战士”舰载重型攻击／轰炸机,无,1952年10月试飞,美国,后被美国空军采用,暂无介绍
直-8舰载运输直升机,无,暂无介绍,中国,具有飞行性能好、使用寿命长，应急时可在水面起降等特点,直-8(中国代号：Z-8，英文：Changhe Z-8)是中国在20世纪90年代以法国SA321直升机为基础仿制改进的13吨级多用途直升机，由中国直升机设计研究所、昌河机械厂(现为昌河飞机工业公司)等单位共同研制， 直-8直升机是单旋翼带尾桨多用途直升机，在标准状态下有较大的功率储备，具有飞行性能好、使用寿命长，飞行安全，操纵容易，使用维护方便，应急时可在水面起降等特点
F4U/FG-1“海盗”战斗机,无,1942-1952服役至1960年代,美国,是美国第一种速度超过640千米/时的战斗机，也是速度最快的活塞式战斗机之一,暂无介绍
O2U“海盗”舰载侦察机,无,暂无介绍,美国,暂无介绍,暂无介绍
TBF/TBM“复仇者”舰载鱼雷轰炸机,无,1939年参加,美国,暂无介绍,暂无介绍
格鲁曼F4F野猫舰载战斗机,无,暂无介绍,美国,暂无介绍,暂无介绍
F6F“泼妇”舰载战斗机,Hellcat/悍妇/泼妇,1942年6月26日飞,美国,部分更能够飞行 ,暂无介绍
F8U/F-8“十字军战士”舰载超音速战斗机,十字军战士,1953年5月开始设计,美国,该机采用可变安装角机翼,暂无介绍
F7U“弯刀”舰载战斗机,无,暂无介绍,美国,第一种同时采用带加力燃烧室的发动机,暂无介绍
FJ/F-1“狂怒”舰载战斗机,无,暂无介绍,未知,暂无介绍,暂无介绍
SBD“无畏式”舰上俯冲轰炸机,无,暂无介绍,未知,暂无介绍,暂无介绍
AJ/A-2“野人”舰载轰炸机,无,1948年7月飞,美国,暂无介绍,暂无介绍
F/A-18A-D“大黄蜂”舰载多用途战斗/攻击机,Hornet,1974年6月9日飞,美国,暂无介绍,F/A-18战斗攻击机（英文：F/A-18 STRIKE FIGHTER，绰号：Hornet，译文：大黄蜂，亦称：Hornet Strike Fighter，译文：大黄蜂攻击战斗机，通称：波音F-18“大黄蜂”，正式编号：F/A-18），是美国海军一型单座/双座双发后掠翼超音速喷气式多用途舰载战斗机 ，作为美国海军最重要的舰载机，其用途广泛，既可用于海上防空，也可进行对地攻击 
FD/FH“鬼怪”舰载战斗机,无,1945年1月26日飞,美国,暂无介绍,暂无介绍
S2F/S-2“追踪者”舰载反潜机,追踪者/跟踪者,1952年12月4日飞,美国,暂无介绍,暂无介绍
EA-6A/B“徘徊者”舰载电子战飞机,无,暂无介绍,美国,暂无介绍,暂无介绍
F11F-1/F-11A“虎”舰载单座战斗机,虎/F11F,暂无介绍,美国,暂无介绍,暂无介绍
F-14“雄猫”空优舰载战斗机,Tomcat,1967年开始研制,美国,暂无介绍,F-14战斗机（英文：F-14 fighter ，编号：F-14，代号/绰号：Tomcat，译文：雄猫，通称：格鲁门F-14“雄猫”），是美国一型双座双发超音速多用途舰载战斗机，在世代上属于第三代战斗机 
苏-33舰载战斗机,无,暂无介绍,苏联,暂无介绍,暂无介绍
中国湖州级鱼雷快艇,无,1963年服役,中国,暂无介绍,暂无介绍
XSR型高速拦截艇,无,2009年9月进行,英国,艇体采用复合材料建造，该艇装备了一门的50毫米口径机枪(隐藏于甲板下),暂无介绍
S-10再生式氧气呼吸系统潜承装备,无,暂无介绍,未知,暂无介绍,它是一款闭合回路的纯氧再生呼吸设备，适用于8米的水深
AIP系统,无,暂无介绍,未知,暂无介绍,暂无介绍
舰艇导航设备,无,暂无介绍,未知,暂无介绍,用于为舰艇提供舰位、航向、航速、水平和方位基准等数据，以保证正确执行航海计划、进行战术机动和有效使用武器装备
潜艇水平升降舵,无,暂无介绍,未知,暂无介绍,暂无介绍
潜艇潜浮系统,无,暂无介绍,未知,暂无介绍,暂无介绍
潜艇耐压壳体,无,暂无介绍,未知,并具有良好水密性的艇体,暂无介绍
汽油机—电池动力潜艇,无,1900年接受,美国,都意识到潜艇应该采用汽油发动机作为动力,暂无介绍
潜艇非耐压艇体,无,暂无介绍,未知,暂无介绍,暂无介绍
闭式循环汽轮相系统,无,暂无介绍,未知,暂无介绍,暂无介绍
激光水雷探测系统,无,暂无介绍,未知,该ALMDS系统能够昼夜作业,暂无介绍
美国“塔拉瓦”号两栖攻击舰,无,暂无介绍,美国,暂无介绍,暂无介绍
HSU-001无人水下潜航器,无,2019年10月1日成立举行,中国,暂无介绍,暂无介绍
水下滑翔器[美国科学家研制],无,暂无介绍,美国,暂无介绍,暂无介绍
Saab-32“矛”式战机,无,1952年11月3日飞,瑞典,暂无介绍,主要用于对地面或海面目标进行攻击，也可遂行空中截击和照相侦察任务
歼-11BS双座战斗机,无,暂无介绍,未知,暂无介绍,暂无介绍
F-87,无,1948年飞,未知,暂无介绍,暂无介绍
拉-5,无,1942年3月飞,苏联,暂无介绍,暂无介绍
米格-21,无,1953年开始设计,苏联,但该机除了大速度、减速性能好以外,其主要任务是高空高速截击、侦察，也可用于对地攻击
伊-16战斗机,无,暂无介绍,苏联,暂无介绍,暂无介绍
Ki-60,无,1941年3月试飞,德国,着陆速度过大,暂无介绍
Ki-44钟馗/2式,"""Tojo""",1940年起到1944年生产,日本,暂无介绍,暂无介绍
F-15J,无,暂无介绍,日本,暂无介绍,暂无介绍
A6M,无,4月1日装,日本,暂无介绍,暂无介绍
BF2C,无,1930年代,美国,暂无介绍,暂无介绍
Ki-100/五式,无,暂无介绍,日本,暂无介绍,五式战斗机（Ki-100）是二战时期日本陆军的战斗机机种之一，由川崎航空机（现川崎重工业）负责开发及制造，这款战斗机继承了三式战斗机的坚固机身构造，主要用于太平洋战争末期的日本防空上
米格-29“支点”战斗机,无,1977年10月6日飞,苏联,暂无介绍,除苏联外超过30多个国家使用，总生产数量1600余架，成为了一款出色的多用途战斗机
共和43“长矛”战斗机,无,1940年采用使用,美国,1940年美国陆军航空队采用此型飞机使用,虽整体战斗表现差强人意，但因拥有良好的高空运动性能与配有供氧系统，且为当时美军唯一可跟上日本陆军KI-46百式司侦的飞行机，加上高航程特性所以美军常将它用于高空侦照任务，之后才由F-4/F-5 “闪电”（P-38闪电式战斗机侦照版本）接续其任务
NA-50/-68和P-64教练战斗机,无,1941年使用,秘鲁,暂无介绍,暂无介绍
格鲁曼FF/SF战斗机,无,1933年12月飞,美国,暂无介绍,暂无介绍
F-106“三角标枪”,三角标枪,1955年开始制造,美国,采用推力更大的J-75发动机,暂无介绍
F-51D“野马”MK2,无,1966年认为反,加拿大,暂无介绍,暂无介绍
F-105“雷公”战斗轰炸机,无,暂无介绍,美国,暂无介绍,暂无介绍
P-51B/C“野马”,无,暂无介绍,英国,P-51A采用阿里逊发动机,暂无介绍
F-15A-D“鹰”第三代制空战斗机,波音F-15“鹰”/美利坚之鹰,1962年展开计划发展来,美国,暂无介绍,F-15战斗机主要用于空中优势作战任务，并发展了空地作战改型，F-15的电子和武器系统无论在有支援的本方空域，还是敌占区域，都能有效的发挥作用
波音F4B-1战斗机,无,1928年承袭,未知,暂无介绍,暂无介绍
F-117“夜鹰”隐身战斗轰炸机,无,1981年飞,美国,暂无介绍,暂无介绍
F4D/F-6“天光”舰载战斗机,Sky ray或Skyray,1951年1月23日飞,美国,暂无介绍,暂无介绍
F-86D“佩刀猛犬”全天候截击机,无,暂无介绍,美国,暂无介绍,暂无介绍
F-111超音速战斗轰炸机,F-111“土豚”,1964年12月试飞,美国,当时空军的设计需求是一架能够全天候、以低空高速进行远程攻击的战术轰炸机，而海军的需求则是一架能够长时间滞空的舰队防空用拦截机，F-111最后仅为空军采用,F-111战斗轰炸机，又称F-111“土豚”（英语：F-111 Aardvark）是一款由美国通用动力于1960年代时开发制造、美国空军与海军联合参与设计案的成品多用途中距离战斗攻击机
F-94“星火”战斗机,Starfire,1949年4月16日飞,美国,暂无介绍,F-94战斗机由洛克希德马丁公司于20世纪40年代末开始研制，1949年4月16日原型机首飞，1950年5月正式服役，1950至1953年期间作为美国空军唯一可借重的喷气式全天候截击机，填补了新装备投入使用之前出现的空挡，在美国本土防空中起到了无可替代的作用，朝鲜战争的爆发使其成为美国第一种参加实战的喷气式全天候战斗机 
F9F-9“美洲狮”轰炸机,无,1962年命名为,未知,暂无介绍,暂无介绍
F8F“熊猫”战斗轰炸机,无,1944年8月21日飞,未知,暂无介绍,暂无介绍
F9F黑豹舰载战斗轰炸机,无,1947年11月24日飞,美国,暂无介绍,暂无介绍
欧洲EF2000“台风”战斗机,无,暂无介绍,西班牙,暂无介绍,台风战斗机（英文：Eurofighter Typhoon，通称：欧洲台风，其它名：EF-2000），是一型由欧洲战斗机公司（英、德、意和西班牙4国合作）设计的双发、三角翼、鸭式布局、高机动性的多用途第四代半战斗机
“幻影”2000D/N双座对地攻击机,无,暂无介绍,法国,能以高亚音速的高速度沿超低空60米高度强行突防渗透进行袭击或实施核打击,暂无介绍
“幻影”2000防空／多用途战斗机,无,2013年除法外销,中国,是第四代战斗机中唯一采用不带前翼的三角翼飞机,幻影2000战斗机（英文/法文：Mirage 2000，译文：幻影2000，中国台湾称之为幻象2000，通称：达索幻影2000），是法国空军一型单发三角翼多用途战斗机，是法国第一种第四代战斗机
苏-34“后卫”远程战斗轰炸机,鸭嘴兽,1990年4月飞,苏联,原因是其采用了并列双座的设计，同时为了减小体积而将头部设计成扁平，并采用了许多先进的装备,暂无介绍
“幻影”Ⅲ战斗机,无,1956年11月试飞,法国,暂无介绍,幻影Ⅲ战斗机（英文：Dassault Mirage III ）是法国达索公司研制的单座单发三角翼战斗机，主要任务是截击和制空，也可用于对地攻击
幻影F1战斗机,无,1966年12月23日试飞,法国,暂无介绍,暂无介绍
波音F2B-1战斗机,无,1926年研制出,美国,暂无介绍,暂无介绍
XP-26“玩具枪”螺旋桨战斗机,“玩具枪”,暂无介绍,未知,暂无介绍,暂无介绍
波音PW-9“追击者”战斗机,无,暂无介绍,美国,暂无介绍,暂无介绍
英国海鹞垂直起降喷气式战斗机,无,暂无介绍,英国,暂无介绍,海鹞是英国研制的一款垂直/短距起降战斗机，该型的主要设计目标是进行低空对地攻击，但也可以用于空战，装备1台推力为85.5千牛的“飞马”6发动机，在垂直起飞时飞机的推重比可超过1.0
JAS-39战斗机,“狮鹫”,1988年推销,瑞典,暂无介绍,暂无介绍
“鹰”200轻型多用途战斗机,无,暂无介绍,英国,暂无介绍,暂无介绍
AMX轻型攻击战斗机,无,1981年3月签署1984年,意大利,AMX攻击机能够执行战场遮断、近距空中支援和侦察任务,AMX攻击机（英语：AMX Attack Aircraft）是AMX国际（英语：AMX International）研制的轻型多用途攻击/侦察机
阵风战斗机,无,暂无介绍,法国,暂无介绍,达索阵风（Dassault Rafale）战斗机，或音译为拉斐尔战斗机，是法国达索飞机制造公司设计制造的双发、三角翼、高机动性、多用途三代半战斗机，阵风真正的优势在于多用途作战能力，这款战斗机是世界上“功能最全面”的，不仅海空兼顾，而且空战和对地、对海攻击能力都十分强大
法国阵风战斗机,无,暂无介绍,法国,暂无介绍,达索阵风（Dassault Rafale）战斗机，或音译为拉斐尔战斗机，是法国达索飞机制造公司设计制造的双发、三角翼、高机动性、多用途三代半战斗机，阵风真正的优势在于多用途作战能力，这款战斗机是世界上“功能最全面”的，不仅海空兼顾，而且空战和对地、对海攻击能力都十分强大
F/A-18E/F/G“超级大黄蜂”舰载攻击/战斗机,Hornet,1974年6月9日飞,美国,暂无介绍,F/A-18战斗攻击机（英文：F/A-18 STRIKE FIGHTER，绰号：Hornet，译文：大黄蜂，亦称：Hornet Strike Fighter，译文：大黄蜂攻击战斗机，通称：波音F-18“大黄蜂”，正式编号：F/A-18），是美国海军一型单座/双座双发后掠翼超音速喷气式多用途舰载战斗机 ，作为美国海军最重要的舰载机，其用途广泛，既可用于海上防空，也可进行对地攻击 
波音FB-1螺旋桨战斗机,无,1925年12月1号,美国,暂无介绍,1927年～1928年间，其中九架又被分配给在中国的远征军（ExpeditionaryForce），被VF-10M中队（由VF-3M中队重组成的）用于作战 
SE-5a/E螺旋桨战斗机,无,1917年春宣布加入,美国,暂无介绍,暂无介绍
米格-37超音速隐身战斗机,“雪貂,暂无介绍,苏联,具有很强的短距垂直起降能力,暂无介绍
米格-13战斗机,无,1945年3月3日坠毁,苏联,其最大平飞速度达到825公里/小时，创造了当时苏联飞机的速度纪录,暂无介绍
冲破音障-什么是音障,无,暂无介绍,未知,当物体速度增加到与音速相同时，如果这个物体有足够的加速度,暂无介绍
苏-30MKK2战斗轰炸机,无,2000年引进,俄罗斯,暂无介绍,暂无介绍
苏-30MKI战斗机,无,暂无介绍,印度,借此苏-30MKI能够进行许多非常规的空中机动动作,暂无介绍
苏-30MKK战斗机,无,1994年飞,未知,Su-30MKK具有结构设计先进和一机多用特点，机身采用了铝镍、钛合金及复合材料,Su-30MKK是苏霍伊设计局研制，由阿穆尔共青城航空制造联合企业生产的多用途战斗机
苏-30MK战斗轰炸机,无,暂无介绍,俄罗斯,Su30MK能够进行空中加油,暂无介绍
苏-30多用途战斗机,无,暂无介绍,俄罗斯,具有超低空持续飞行能力、极强的防护能力和出色的隐身性能,苏-30战斗机（俄文：Сухой Су-30，英文：Sukhoi Su-30，中文：苏-30；北约代号：Flanker-C，中文：侧卫-C）是俄罗斯针对美国F-15战斗机而研制的一种多用途重型战斗轰炸机，具有超低空持续飞行能力、极强的防护能力和出色的隐身性能，在缺乏地面指挥系统信息时仍可独立完成歼击与攻击任务，其中包括在敌领域纵深执行战斗任务
歼-8Ⅲ战斗机,无,暂无介绍,中国,歼8Ⅲ战斗机的特点是加装鸭翼，雷达采用的是以色列的射控雷达，具有多目标攻击能力,暂无介绍
歼-8Ⅱe,无,暂无介绍,未知,采用机体两侧进气道，0-1100千米/小时速度的安全救生,暂无介绍
歼-8D,无,暂无介绍,未知,暂无介绍,暂无介绍
中国歼-8T战斗机,无,1969年7月5日飞,中国,暂无介绍,暂无介绍
歼-8Ⅱ,无,1984年6月12日飞,未知,采用机体两侧进气道，歼-8Ⅱ具有发射超视距空空导弹的能力，同时也具有一定的对地攻击能力,暂无介绍
歼-8战斗机,无,1969年7月5日飞,中国,暂无介绍,暂无介绍
歼-7战斗机,无,暂无介绍,中国,歼-7的技术特点是突出高空、高速特性，具有轻小灵活的特点,歼-7是中国研发的第一种两倍音速喷气战斗机，大量装备中国空军和海军航空兵，主要用于国土防空和夺取战场前线制空权，也可以执行对地攻击任务，属于典型的第二代战斗机
歼-6战斗机,无,1958年开始研制,中国,暂无介绍,歼-6（英文：Shenyang J-6或F-6，北约代号：Farmer，中文：农夫）战斗机，是中国沈阳飞机制造工业公司制造的单座双发超音速喷气式战斗机，主要用于国土防空和夺取前线局部制空权，也可执行一定的对地攻击任务
歼-6攻击无人机,无,暂无介绍,中国,暂无介绍,歼-6攻击无人机，歼-6是中国沈阳飞机制造公司制造的单座双发超音速战斗机，是60年代至70年代中国空军的主力歼击机，可以用于国土防空和夺取前线局部制空权，歼—6可以按照事先设定的航线、高度实施飞行，航程与有人驾驶歼—6战机相同，在空战中遥控的无人战机能消耗台军的防空导弹，同时歼—6型无人战机还具备攻击能力
歼-5战斗机,无,1954年10月开始,中国,采用机头进气的后掠式中单翼机气动布局，体积小，重量轻、低空机动性能好，1956年7月13日全部采用中国自制零件的第一架歼-5完成总装，标志着中国成为当时世界上能够成批生产喷气战斗机的少数几个国家之一,暂无介绍
米格-15战斗机,无,暂无介绍,苏联,暂无介绍,暂无介绍
贝尔P-63“眼镜蛇王”单翼战斗机,无,暂无介绍,美国,暂无介绍,暂无介绍
贝尔P-59“空中彗星”战斗机,无,暂无介绍,美国,暂无介绍,暂无介绍
X-45无人战斗机,无,暂无介绍,美国, X-45无人作战飞机具有低探测、维护方便、执行任务费效比高等诸多优点,暂无介绍
苏-27战斗机,"""侧卫""",1969年开始研制,苏联,暂无介绍,暂无介绍
F-16“战隼”多功能战斗机,Fighting Falcon/国际战斗机,1976年开始生产,美国,是美国第一种能够进行9G过载机动的战斗机，也是美国首先采用线传飞控、人体工程学座舱的战斗机之一,F-16战斗机（英文：F-16 fighter，编号：F-16，代号/绰号：Fighting Falcon，译文：战隼，通称：通用动力/洛克希德F-16“战隼”，又称：国际战斗机），是美国空军一型单座单发喷气式多用途空中优势战斗机，是美国第三代或第三代半战斗机，也是世界上最成功的战斗机之一， 从F-16A/B型Block 15批次开始F-16进行多用途化改进，具备了夜战能力和发射空地导弹、反舰导弹等对面打击能力，成为多用途战斗机
F-15E“打击鹰”战斗轰炸机,无,暂无介绍,美国,采用了具有自动地形跟踪能力3余度的数字式电传操纵 系统和先进的电子座舱显示系统,F-15E攻击鹰式战斗轰炸机（F-15EStrikeEagle）是美国空军的全天候打击战机，用于深入敌人后方对地面目标之阻绝
A3D/A-3“空中战士”舰载重型攻击／轰炸机,无,1952年10月试飞,美国,后被美国空军采用,暂无介绍
J2M月光式战斗机,无,暂无介绍,日本,暂无介绍,暂无介绍
F-15鹰式战斗机,无,1962年展开发展出来,美国,暂无介绍,暂无介绍
FC-1“枭龙”/JF-17“雷电”多用途轻型战斗机,无,2002年5月31日完成,中国,具有突出的中低空和高亚音速机动作战能力，该机采用中等展弦比边条翼正常布局和先进的气动外形，具有多种先进的精确导航、战场态势感知、目标探测与识别、作战攻击以及电子战等功能，该机采用了先进的气动外形和大推力、低油耗的涡扇发动机以及先进的数字式电传飞控系统、综合化航空电子和武器系统，具有发射中距弹、实现多目标超视距攻击的能力，具有多种先进的精确导航、战场态势感知、目标探测与识别、作战攻击以及电子战等功能,FC-1战斗机（中国代号：枭龙，英文：Chengdu FC-1/JF-17，巴基斯坦编号：JF-17，代号：Thunder ，译文：雷电），是中国和巴基斯坦共同投资、中国航空工业集团公司所属成都飞机工业(集团)有限责任公司、成都飞机设计研究所、中国航空技术进出口公司等单位联合研制，巴基斯坦空军参与开发的全天候、单发、单座、多用途轻型战斗机
歼-31隐形战斗机,鹘鹰,2012年10月31日,中国,具有自主知识产权，该机采用单座、双发、外倾双垂尾、全动平尾的常规气动布局，歼-31战斗机具有高生存力：低雷达可探测性、低红外辐射特性、优异的电子对抗性能、低易损性设计,该机是针对国际市场需求研发的隐身多用途战斗机，综合作战效能优异，具有自主知识产权
VJ-101双座攻击机,无,1955年撤销,德国,暂无介绍,暂无介绍
苏-9战斗机,无,暂无介绍,苏联,暂无介绍,暂无介绍
小翼,无,暂无介绍,美国,暂无介绍,暂无介绍
中国空军苏-30MKK战机,无,1994年飞,未知,Su-30MKK具有结构设计先进和一机多用特点，机身采用了铝镍、钛合金及复合材料,Su-30MKK是苏霍伊设计局研制，由阿穆尔共青城航空制造联合企业生产的多用途战斗机
中国歼-19舰载战斗轰炸机,无,暂无介绍,中国,暂无介绍,暂无介绍
F-4“鬼怪Ⅱ”截击机／战斗轰炸机,无,1956年开始设计,美国,暂无介绍,暂无介绍
C-23运输机,“雪帕”,1984年12月23日试飞,英国,暂无介绍,C-23是全天侯飞机，用于向全欧洲空军基地运送零配件和发动机，由军事空运司令部管理
运-8E,无,1960年负责,苏联,暂无介绍,运-8运输机由陕西飞机制造公司研制，为中型四发涡轮螺桨多用途运输机，原型为苏联安-12，该机可用于空投、空降、运输、救生及海上作业等多种用途
JRF“鹅式”水上运输机,无,暂无介绍,美国,暂无介绍,暂无介绍
JRS-1/OA-8通用运输机,无,暂无介绍,美国,暂无介绍,暂无介绍
“信使”M-1/MAT运输机,无,1921年应,美国,暂无介绍,暂无介绍
R3Y“信风”水上运输机,无,1954年2月完成,未知, R3Y-2的特点是机头开有装货门,暂无介绍
UO/U-11“阿兹特克人”运输机,无,暂无介绍,美国,暂无介绍,最初用于美国的民用航空市场，少部分曾进入美国和其他国家的海军中服役
C-5“银河”重型战略运输机,无,暂无介绍,美国,C-5运输机能够在全球范围内运载超大规格的货物并在相对较短的距离里起飞和降落，它能够在全球范围内运载超大规格的货物并在相对较短的距离里起飞和降落,暂无介绍
c-20运输机,无,1983年6月选中用来作为替换服役喷射,美国,暂无介绍,暂无介绍
C-11/20/37”湾流“要员运输机,无,1983年6月选中用来作为替换服役喷射,美国,暂无介绍,暂无介绍
C-69/C-121“星座“/”预警星”战略运输机,“预警星”,1943年飞,美国,暂无介绍, 在美国宣布参加第二次世界大战之后，洛克希德飞机公司的装配线被美国政府接管，用于战争
C-123“供应者”运输机,无,暂无介绍,未知,暂无介绍,暂无介绍
C-82“邮船”双发战术运输机,“邮船”,1944年试飞,美国,暂无介绍,暂无介绍
格鲁曼C-2“灰狗式”舰载运输机,无,1964年11月18日飞,美国,暂无介绍,C-2运输机由E-2预警机的基础上研制而成，主要用于美国海军航空母舰舰上运输（Carrier onboard delivery， COD）任务，提供航空母舰舰队关键的后勤支援，包括人员、货物及邮件的运输
C-130“大力神”战术运输机,无,1954年8月23日飞服役,美国,暂无介绍,洛克希德C-130“大力神”（英语：Lockheed C-130 Hercules）是由美国洛克希德公司（现洛克希德·马丁公司）在上个世纪五十年代研制的四发涡桨多用途战术运输机，C-130可在前线简易机场跑道上起降，向战场运送或空投军事人员和装备，返航时可用于撤退伤员，改型后用于执行各种任务，用于电子监视、空中指挥、控制和通讯的型别有EC-130、EC-130Q等；此外还有搜索救援和回收型、空中加油型、特种任务型、气象探测型、海上巡逻型及空中预警型，此外还有大量民用型别
C-21轻型运输机,无,1973年研制,美国,暂无介绍,暂无介绍
YC-43“旅行家”小型运输机,无,暂无介绍,美国,暂无介绍,暂无介绍
CH-47“支奴干”中型运输直升机,无,1956年研制,美国,其双旋翼采用纵列布局，CH-47是美军服役的直升机当中载重量最高的型号之一,暂无介绍
C-97“同温层货船”大型运输机,无,1944年11月15日飞,朝鲜,采用4台普惠R-4360-598“大黄蜂”,暂无介绍
波音V-22 “鱼鹰”倾斜式旋翼运输机,鱼鹰,1989年3月19日飞,美国,最大飞行速度达509千米,暂无介绍
