weapon,abstract
共和43“长矛”战斗机,"
	共和43“长矛”（Republic P-43 “闪电”（P-38闪电式战斗机侦照版本共和43“长矛”（Republic P-43 Lancer）是一种单引擎，全铝合金，低主翼的战斗机，由共和飞机公司制造。1940年美国陆军航空队采用此型飞机使用。虽整体战斗表现差强人意，但因拥有良好的高空运动性能与配有供氧系统，且为当时美军唯一可跟上日本陆军KI-46百式司侦的飞行机，加上高航程特性所以美军常将它用于高空侦照任务，之后才由F-4/F-5 “闪电”（P-38闪电式战斗机侦照版本）接续其任务。	"
NA-50/-68和P-64教练战斗机,"
	NA-50是从NA-16教练机发展而来的低成本战斗机，它专门为小型空军部队设计，NA-50在1941年秘鲁和厄瓜多尔的战争中被使用，最后一批于20年后退役。泰国皇家空军也有订购，不幸的是，在拿到这种战斗机以前，泰国已被日本占领，因此，这些飞机后来被美围陆军航空部队用作高级战斗教练机。	"
格鲁曼FF/SF战斗机,"
	FF/SF战斗机是二战期间美国海军航空兵主力的舰载战斗机之一，该战斗机在1933年12月首飞成功。格鲁曼FF/SF战斗机，是美国海军装备的第一种可以收放起落架的舰载战斗机，也是格鲁曼战斗机同美国海军结缘70年的开始。	"
F-106“三角标枪”,"
	F-106战斗机（英文：F-106 Fighter ，绰号译文：三角标枪），是20世纪50年代美国通用动力公司康维尔分公司为美国空军研制的超音速全天候三角翼战斗机。该机是从F-102A超音速战斗机改型而来，气动外形、结构、军械和机载设备方面改动较大，采用推力更大的J-75发动机，战术技术性能有较大提高。F-106的设计工作始于1954年，1955年开始制造原型机，1956 年12月，原型机开始试飞。1958年8月正式投产，1959年7月开始交付美国空军使用。	"
F-51D“野马”MK2,"
	20世纪50年代末60年代初，佛罗里达州报业巨头戴维·布里德·小林德赛创建了佛罗里达航空公司，将一架原加拿大皇家空军的P-51D首次改装成了F-51D“野马”MK2轰炸机。 在卖出这架飞机后，佛罗里达航空公司扩大了自身规模并开始购买更多的剩余飞机和零件。 1966年，美国国防部认为“卡维利尔野马”是南美“友好国家”的理想反暴动飞机，作为“和平兀鹰计划”的一部分正式和该公司签署合同翻新一批P-51。	"
F-105“雷公”战斗轰炸机,"
	F-105战斗机轰炸机（英语：Thunderchief），别名“雷公”，是由美国共和公司研制的美国空军第1架超音速战术战斗轰炸机，是第一种专门开发的超音速战斗轰炸机。它也是美国空军有史以来最大的单座单发动机的作战飞机，并且因为其特大的内部武器舱和翼根下的独特的前掠形发动机进气口而出名。
在越南北方的战争中，成名于强大的常规攻击能力。在对北越进行的滚雷行动中，F-105轰炸机是美国空军（USAF）的主力战机，而双座型则作为野鼬鼠战机压制防空火力。凭借其低空高速的飞行能力，击落了 27.5 架敌机。	"
P-51B/C“野马”,"
	P-51B是从为满足英国的新型战斗机招标而制造的创纪录的P-51A“野马”发展而来的，P-51A采用阿里逊发动机，而P-51B配备的则是罗-罗公司的“灰背隼（Merhn）”发动机，其优秀的性能足以和当时德国主力的Bf 109和Fw 190等杰出战机对抗甚至占优。虽然在使用V-1650-3时期的P-51B/C型尚有诸多问题，对轴心国的一线级战机并非全面性的优势，但已展现各方面优秀的潜能、并为盟军及时提供战略需求上理想的护航机，而且设计上也已经为后续的机型奠下良好的基础。	"
F-15A-D“鹰”第三代制空战斗机,"
	F-15战斗机（英文：F-15，代号：Eagle，译文：鹰，又称：波音F-15“鹰”，绰号：美利坚之鹰），是美国空军一型双座双发后掠翼喷气式超音速全天候高机动性空中战术战斗机 。F-15战斗机主要用于空中优势作战任务，并发展了空地作战改型。该机具备完善的全天候作战能力，可使用先进的中距空空导弹摧毁敌机。它的优势是以比以往任何一种战斗机都要优越的机动性、操纵性、航程、火力和电子设备为基础的。F-15的电子和武器系统无论在有支援的本方空域，还是敌占区域，都能有效的发挥作用。而其他的一些战斗机往往过于依赖地面基地的支援 。F-15战斗机由美国麦道公司（现波音/Boeing公司）研制，由1962年展开的F-X（Fighter-Experimental）计划发展而来，1969年由麦道（McDonnell Douglas）公司得标，1972年7月首次试飞，1974年首架量产型交付美国空军使用。服役近40多年，总生产数量1200余架，各种改型数十种，外销六个国家。参加大小战争100余场，击落敌机100余架，没有一架在战场上被击落的记录，仍是美国空军的主力空优战斗机，并且还要继续服役下去 。	"
波音F4B-1战斗机,"
	F4B-1单座双翼战斗机，是1928年波音公司承袭F2B/F3B系列战机风格，自担风险制造的又一款新型海军战斗机。	"
F-117“夜鹰”隐身战斗轰炸机,"
	F-117A攻击机（英文：F-117A Attack aircraft，代号：Nighthawk，译文：夜鹰，惯称：F-117），是美国一型单座双发飞翼亚音速喷气式多功能隐身攻击机，是世界上第一型完全以隐形技术设计的飞机。F-117A攻击机的设计目的是凭其隐形性能突破敌火力网，压制敌防空系统，摧毁严密防守的指挥所、战略要地、工业目标，可执行侦察任务。F-117A攻击机由美国洛克希德公司（Lockheed ）于20世纪70年代中期开始研制，1981年首飞定型，1983年服役，1988年首次公布，服役后参加过入侵巴拿马、海湾战争、科索沃战争等军事行动，2008年4月全部退役。	"
F4D/F-6“天光”舰载战斗机,"
	F-6战斗机（英文：F-6 fighter，代号/绰号：Sky ray或Skyray，译文：天光，编号：F-6，曾用编号：F4D-1，昵称：Ford，通称：道格拉斯F4D/F-6“天光”），是美国海军一型单座单发三角翼超音速喷气式舰载战斗机。F-6战斗机是一种脱胎于二战末期德国设计理念的舰载战斗机，是第一种打破绝对航速记录的舰载飞机，也是美国海军的第一种超音速战斗机。F-6战斗机由道格拉斯（Douglas）公司于20世纪50年代开始研制，1951年1月23日首飞，1956年服役，由于武器装备不足和发动机性能不佳，它们的职业生涯非常短暂，也是道格拉斯飞机公司生产的最后一款战斗机。	"
F-86D“佩刀猛犬”全天候截击机,"
	F-86D是北美公司向美国空军提供的本土防御全天候截击机，它没有配备枪械，发动机进气口上安装了突出的雷达整流罩。北美公司以标准的F-86A机体为基础，加宽了机身，并且加长了40英尺4英寸。为它的J47发动机配备了加力燃烧室，去掉了6挺0.5英寸机枪，代之以一个可收放的、能携带24枚2.75英寸无制导火箭弹的发射箱。最后，在前机身中装入航空电子设备，雷达天线罩中放置了APG-36搜索雷达。	"
F-111超音速战斗轰炸机,"
	F-111战斗轰炸机，又称F-111“土豚”（英语：F-111 Aardvark）是一款由美国通用动力于1960年代时开发制造、美国空军与海军联合参与设计案的成品多用途中距离战斗攻击机。当时空军的设计需求是一架能够全天候、以低空高速进行远程攻击的战术轰炸机，而海军的需求则是一架能够长时间滞空的舰队防空用拦截机。但是开发中的许多问题导致舰载拦截机版本的设计（F-111B）没有实现，F-111最后仅为空军采用。1964年12月第一架原型机试飞，1967年10月首批生产型正式交付使用,1996年7月26日F-111退役。	"
F-94“星火”战斗机,"
	F-94战斗机（英文：F-94 Fighter，绰号：Starfire，译文：星火，主要型号：F-94A，F-94B和F-94C，通称：洛克希德F-94“星火”截击机），是美国一型双座单发平直翼亚音速喷气式截击战斗机，是20世纪50年代最知名的全天候截击机之一 。F-94战斗机是美国第一种大量生产与服役的喷气拦截机，衍生自T-33教练机，作为一架截击机，其航程和爬升率都略显不足，相对薄弱的武器配置在对付轰炸机时也稍显不足 。F-94战斗机由洛克希德马丁公司于20世纪40年代末开始研制，1949年4月16日原型机首飞，1950年5月正式服役，1950至1953年期间作为美国空军唯一可借重的喷气式全天候截击机，填补了新装备投入使用之前出现的空挡，在美国本土防空中起到了无可替代的作用，朝鲜战争的爆发使其成为美国第一种参加实战的喷气式全天候战斗机 。	"
F9F-9“美洲狮”轰炸机,"
	格鲁曼公司原先的喷气式战斗机设计的坚固性的F9F“黑豹”发展为后掠翼的“美洲狮”奠定了基础，并持续生产了七年。1962年“美洲狮”被重新命名为F/RF/TF-9，大量的“美洲狮”在一线部队、训练单位和预备役单位服役，直到1974年。	"
F8F“熊猫”战斗轰炸机,"
	F8F“熊猫”是格鲁曼公司最后的一种使用活塞发动机的战斗机。两架XF8F-1原型机于1943年11月开始研制，并且在1944年8月21日首飞。那时，格鲁曼再次确定使用最强力的引擎——普拉特-惠特尼公司的R-2800“双黄蜂”系列发动机，与该公司设计的“地狱猫”和“虎猫”战斗机使用的引擎相同。引擎装配在尽可能小型、轻量化的机身内。充裕的动力使飞机的操纵性提高， 这种高速战斗机的爬升率比“地狱猫”高30%。	"
F9F黑豹舰载战斗轰炸机,"
	F9F战斗机（英文：F9F fighter，代号：黑豹），是美国一型单座单发平直翼亚音速喷气式战斗机，同时也是美国海军航空母舰上成功布署的喷气式舰载战斗轰炸机之一。F9F战斗机由美国格鲁曼公司研制，是该公司生产的第一架喷气式战斗机，1947年11月24日首飞。F9F战斗机是朝鲜战争中最广泛使用的美国海军战斗机，一共飞行了78000架次，并且是美国海军在该战争中第一个取得空对空战果的机种，击落了北朝鲜的雅科夫列夫雅克-9战斗机 。	"
欧洲EF2000“台风”战斗机,"
	台风战斗机（英文：Eurofighter Typhoon，通称：欧洲台风，其它名：EF-2000），是一型由欧洲战斗机公司（英、德、意和西班牙4国合作）设计的双发、三角翼、鸭式布局、高机动性的多用途第四代半战斗机。台风战斗机和法国达索阵风战斗机以及瑞典萨博JAS-39战斗机因为其优异的性能表现，并称为欧洲“三雄”。	"
“幻影”2000D/N双座对地攻击机,"
	“幻影”2000D是法国空军的第一款常规战斗机，用以提供全天候的精确打击能力。它的重要性在于填补了“阵风”战斗机装备部队前的空档，为军事计划法的1977—2002版所正式承认。“幻影”2000N双座对地攻击机，由于结构加强，能以高亚音速的高速度沿超低空60米高度强行突防渗透进行袭击或实施核打击。	"
“幻影”2000防空／多用途战斗机,"
	幻影2000战斗机（英文/法文：Mirage 2000，译文：幻影2000，中国台湾称之为幻象2000，通称：达索幻影2000），是法国空军一型单发三角翼多用途战斗机，是法国第一种第四代战斗机。幻影2000战斗机由法国自主设计，是第四代战斗机中唯一采用不带前翼的三角翼飞机，这是一种独树一帜的设计。法国在战斗机研制方面独树一帜的做法不仅体现在幻影2000飞机上，而且体现在整个幻影系列飞机的形成和发展之中。幻影2000战斗机由法国达索公司（Dassault）在20世纪七十年代研制，截至2013年除法国外还外销8个国家/地区，总建造数量600余架，基本型是空中优势战斗机2000C型，可遂行全天候、全高度/全方位、远程拦截任务；80年代发展了2000B双座教练型和2000N对地攻击型，90年代研制了空战能力明显提高的2000-5型，改型达20余种。	"
苏-34“后卫”远程战斗轰炸机,"
	苏-34战斗轰炸机（俄文：Су-34，英文：Su-34，北约代号：Fullback，中文：后卫，绰号：鸭嘴兽，通称：苏霍伊苏-34），是苏联/俄罗斯一型高机动性、全天候、超音速、双发双座战斗轰炸机。苏-34战斗轰炸机继承了苏-27战斗机家族优异的气动外形设计，最大特征是其扁平的头部，原因是其采用了并列双座的设计，使得其头部加大，同时为了减小体积而将头部设计成扁平，并采用了许多先进的装备，如新型火控计算机、液晶显示器、新型数据链、后视雷达等。苏-34战斗轰炸机由苏联苏霍伊设计局（Сухой或Sukhoi，现俄罗斯联合飞机制造集团苏霍伊公司）研制， 最早型号为代号苏-27IB试验机，其试验机在1990年4月首飞，预生产型于1993年12月18日首飞。原预计在2002年全面列装，但是因为苏联解体导致的资金不足，直到2007年7月俄罗斯国防部才宣布正式接收 。	"
“幻影”Ⅲ战斗机,"
	幻影Ⅲ战斗机（英文：Dassault Mirage III ）是法国达索公司研制的单座单发三角翼战斗机，主要任务是截击和制空，也可用于对地攻击。1956年11月原型机首次试飞，1960年后开始交付使用。60至70年代作为法国空军主力战斗机。出口多个国家,在二战后世界的各个大小战争和武装冲突中屡试身手博得各国青睐使得""幻影""战斗机家喻户晓。	"
幻影F1战斗机,"
	幻影F-1战斗机（法语：Dassault Mirage F-1）由法国达索飞机制造公司制造，于1966年12月23日首次试飞，1970年加入法国空军服役。它配备不同的武器和设备，可以完成制空、截击、低空对地攻击等不同的任务。其首要任务是全天候高空截击。上个世纪的五六十年代，法国达索公司成功的开发了暴风雨，神秘IIC，神秘IVA和超神秘B2系列战斗机不仅进入了法国空军大量服役还成功的打入了出口市场。由此马塞尔·达索领导的公司初步确立了其在法国航空工业的地位。之后达索公司又研制成功了传奇性的幻影III性战斗机，在国际航空界声名大振。从那以后“达索”这个单词一直是法国航空工业的象征。在幻影III成功不久，六十年代中期法国空军就和达索公司开始规划幻影III的后继者。这导致了一系列的先期研究计划的诞生。	"
波音F2B-1战斗机,"
	1926年，波音公司研制出了69型双翼战斗机，沿袭FB系列的很多特色，被美国海军命名为F2B-1战斗机。	"
XP-26“玩具枪”螺旋桨战斗机,"
	XP-26“玩具枪” ，是波音公司自担风险生产战斗机的又一标志性产物。 因为安装在前机身上的管状瞄准器，人们送给在一线服役的P-26一个绰号“玩具枪”。	"
波音PW-9“追击者”战斗机,"
	两次世界大战期间，飞机制造商波音公司成功地设计出了几类战斗机。在此基础之上又推出了波音15型，美国陆军在其进行了评估后，将其命名为PW-9“追击者”。	"
英国海鹞垂直起降喷气式战斗机,"
	海鹞是英国研制的一款垂直/短距起降战斗机，该型的主要设计目标是进行低空对地攻击，但也可以用于空战，装备1台推力为85.5千牛的“飞马”6发动机，在垂直起飞时飞机的推重比可超过1.0。	"
JAS-39战斗机,"
	JAS 39“鹰狮”（瑞典语：JAS 39 Gripen，英文：JAS 39 Griffin 或 Gryphon，又译作“狮鹫”）为瑞典萨博公司（SAAB）（Svenska Aeroplan AB）为中心所开发用以取代Saab-37战斗机，在战机世代上属于第四代战斗机。JAS-39首飞于1988年，正向全世界推销中。现已服役于瑞典、捷克、匈牙利等国空军，并正于南非空军中成军。2007年10月，泰国国会也已批准首批六架JAS-39战机订单。JAS-39战斗机的“JAS”缩写为瑞典语中的“Jakt”（对空战斗）“Attack”（对地攻击）“Spaning”（侦察）的缩写，因此可见JAS 39战斗机为一战斗、攻击、侦察兼具的Multirole Aircraft（多功能战斗机）。JAS-39在续航距离的妥协、汰换运用上的容易性与高效能低价位的实现使得其成为当今世界最具关注度、最畅销的轻型战斗机，且和中国与巴基斯坦共同研制的FC-1战斗机定位相同，亦为FC-1枭龙战斗机在国际上最大的竞争对手。	"
“鹰”200轻型多用途战斗机,"
	鹰200型战斗机是英国宇航公司(BAE)在“鹰”100教练机的基础上研制的单座多功能喷气式战斗机。该机可执行防空、近距空中支援、战场遮断、远距侦察和反舰等任务。	"
AMX轻型攻击战斗机,"
	AMX攻击机（英语：AMX Attack Aircraft）是AMX国际（英语：AMX International）研制的轻型多用途攻击/侦察机。AMX国际是意大利阿莱尼亚航空工业（Alenia Aeronautica）、巴西航空工业公司（Embraer）和意大利马基公司（Aermacchi）为AMX攻击机案分别占股46.5%、29.7%和23.6%而合资成立的国际公司。AMX攻击机能够执行战场遮断、近距空中支援和侦察任务，全天候执行低空高亚音速突防任务，并能在简易机场和跑道受损的情况下顺利起降。AMX攻击机以其简洁、流畅、高效的设计，以及其尺寸和作战能力而被冠以“口袋狂风”的绰号。AMX攻击机计划立项于1981年3月，巴西政府同意大利政府签署了联合规格书；1984年5月15日，第一架AMX原型机A.01首飞；第一架生产型AMX在 1988年5月11首飞；除意大利和巴西空军使用外还外销委内瑞拉，总制造数量200余架。	"
阵风战斗机,"
	达索阵风（Dassault Rafale）战斗机，或音译为拉斐尔战斗机，是法国达索飞机制造公司设计制造的双发、三角翼、高机动性、多用途三代半战斗机。
阵风真正的优势在于多用途作战能力，这款战斗机是世界上“功能最全面”的，不仅海空兼顾，而且空战和对地、对海攻击能力都十分强大。以F3型为例，阵风已具备高超的对海攻击、侦察和核攻击能力，阵风是一款能力全面、性能比较均衡的三代半战斗机，即能空中格斗，又能对地攻击，还能作为航母舰载机，甚至可以投掷核弹（F3型）。世界上真正属于这类“全能通用型战斗机”的新型战斗机，除阵风外，只有美国的F/A-18E/F以及F-35。
阵风战斗机和欧洲台风战斗机以及瑞典萨博JAS-39战斗机因为其优异的性能表现，并称为欧洲“三雄”。	"
法国阵风战斗机,"
	达索阵风（Dassault Rafale）战斗机，或音译为拉斐尔战斗机，是法国达索飞机制造公司设计制造的双发、三角翼、高机动性、多用途三代半战斗机。
阵风真正的优势在于多用途作战能力，这款战斗机是世界上“功能最全面”的，不仅海空兼顾，而且空战和对地、对海攻击能力都十分强大。以F3型为例，阵风已具备高超的对海攻击、侦察和核攻击能力，阵风是一款能力全面、性能比较均衡的三代半战斗机，即能空中格斗，又能对地攻击，还能作为航母舰载机，甚至可以投掷核弹（F3型）。世界上真正属于这类“全能通用型战斗机”的新型战斗机，除阵风外，只有美国的F/A-18E/F以及F-35。
阵风战斗机和欧洲台风战斗机以及瑞典萨博JAS-39战斗机因为其优异的性能表现，并称为欧洲“三雄”。	"
F/A-18E/F/G“超级大黄蜂”舰载攻击/战斗机,"
	F/A-18战斗攻击机（英文：F/A-18 STRIKE FIGHTER，绰号：Hornet，译文：大黄蜂，亦称：Hornet Strike Fighter，译文：大黄蜂攻击战斗机，通称：波音F-18“大黄蜂”，正式编号：F/A-18），是美国海军一型单座/双座双发后掠翼超音速喷气式多用途舰载战斗机 。 F/A-18战斗攻击机是美国军方第一种兼具战斗机与攻击机身份的型号 ，在世代上属于第三代战斗机，具备优秀的对空、对地和对海攻击能力。作为美国海军最重要的舰载机，其用途广泛，既可用于海上防空，也可进行对地攻击 。 F/A-18战斗攻击机由美国麦道公司（现波音/Boeing ）研制，原型机1974年6月9日首飞，1983年进入美国海军服役，2006年7月28日F-14战斗机退役后，成为美国航空母舰上唯一的舰载战斗机 。	"
波音FB-1螺旋桨战斗机,"
	继向美国陆军成功销售PW-9后，波音公司也试图向美国海军推销其15型飞机，这些实质上是陆军PW-9的复制版。最终，波音公司于925年年初如愿以偿地签署了销售合同，首批10架于1925年12月1号到22号期间交付。
首批10架次交付美国海军后，FB-1被分配给海军陆战队VF-1M、VF-2M中队和VF-3M中队使用。
1927年～1928年间，其中九架又被分配给在中国的远征军（ExpeditionaryForce），被VF-10M中队（由VF-3M中队重组成的）用于作战 。	"
SE-5a/E螺旋桨战斗机,"
	1917年春，美国宣布加入第一次世界大战时，现役中并没有国产的军用飞机，而要加入欧洲战场，拥有自己的军用飞机又是必要的。继而，一个决定被迅速做出：在美国的工厂中制造英法的战斗机和轰炸机，而不是花时间去设计同类机型。皇家飞机制造厂的SE 5a被选中，SE 5a是一种单座单发双翼战斗机。	"
米格-37超音速隐身战斗机,"
	米格-37(MiG-37)是苏联80年代末90年代初为对抗美F-117而设计的一种超音速隐身战斗机，北约绰号“雪貂(Ferret)”，由米高扬设计局设计。起初米格-37是作为攻击机来设计的，后来被改进强化了空空作战能力，作为隐身截击机来使用，米格-37执行任务时，由预警机引导接敌，飞行中保持无线电静默，直到到达作战距离时才打开雷达，向目标发射导弹。米格-37在机身中部和后部装有升力发动机，具有很强的短距垂直起降能力，计划中米格-37将装备航母，米格-37始终没有造出一架原型机，后因资金不足，又逢第四代战机的出现，停止了发展。	"
米格-13战斗机,"
	米格-13战斗机（俄文：МиГ-13 ，英文：MiG-13），是苏联米高杨飞机设计局第二次世界大战末期设计研制的战斗机。米格-13战斗机是一型活塞螺旋桨·喷气混合动力飞机，其最大平飞速度达到825公里/小时，创造了当时苏联飞机的速度纪录。米格-13也是苏联最后一种装有活塞式发动机的战斗机。米格-13原型为I-250战斗机，1945年3月3日I-250首飞时坠毁，试飞员不幸遇难。该机1946年定型并被正式命名为米格-13战斗机，后装备苏联海军航空兵。该机并未大批量生产，被更先进的米格-9战斗机取代。	"
冲破音障-什么是音障,"
	当物体速度增加到与音速相同时，声波开始在物体前面堆积。如果这个物体有足够的加速度，便能突破这个不稳定的声波屏障，冲到声音的前面去，也就是冲破音障。	"
苏-30MKK2战斗轰炸机,"
	苏-30МКК/MKK2（英文：Sukhoi Su-30MKK/MKK2）战斗轰炸机，是俄罗斯苏霍伊飞机设计局在苏-27СК基础上以计算机辅助设计技术（CAD/CAM/CAE）对机身结构进行重新设计后制造出来的第三代战斗轰炸机。中国于2000年开始从俄罗斯引进苏-30МКК/МКК2战斗轰炸机，并装备空军和海军航空兵。	"
苏-30MKI战斗机,"
	苏-30MKI是印度空军装备的主力战斗机，俄罗斯制造出口。该机发展自俄罗斯苏-30M战斗轰炸机，编号中M代表“多功能”，K为“出口型”，I是代表India的第一个字母。苏-30MKI安装了鸭翼和先进的AL-31FP推力矢量发动机。AL-31FP发动机喷管可以作上下15度的转向调整，借此苏-30MKI能够进行许多非常规的空中机动动作。	"
苏-30MKK战斗机,"
	Su-30MKK是苏霍伊设计局研制，由阿穆尔共青城航空制造联合企业生产的多用途战斗机。他是Su-27UB的改进型。1994年Su-30MKK首飞成功。Su-30MKK具有结构设计先进和一机多用特点。除空战外，Su-30MKK还有很强的对地攻击能力，可以攻击地面雷达、指挥控制中心、地空导弹、海上目标。此外，它还能完成预警指挥机的任务，能同时引导4架同型号飞机或Su-27系列飞机作战。Su-30MKK总体上沿用了Su-27的一体化结构与气动布局。两个垂尾的顶端由Su-27的尖型变成平直，为的是安装天线。机身采用了铝镍、钛合金及复合材料。	"
苏-30MK战斗轰炸机,"
	俄罗斯生产的SU30MK歼击轰炸机也拥有类似F15E那样的精确攻击能力。同时还有在防区外发射制导导弹的能力。命中误差在四至七米之间，Su30MK能够进行空中加油，并保留了Su30空优战斗机的空战能力，空战武器还可使用俄最先进的R77主动雷达寻导弹。最大载弹量达六吨。	"
苏-30多用途战斗机,"
	苏-30战斗机（俄文：Сухой Су-30，英文：Sukhoi Su-30，中文：苏-30；北约代号：Flanker-C，中文：侧卫-C）是俄罗斯针对美国F-15战斗机而研制的一种多用途重型战斗轰炸机，具有超低空持续飞行能力、极强的防护能力和出色的隐身性能，在缺乏地面指挥系统信息时仍可独立完成歼击与攻击任务，其中包括在敌领域纵深执行战斗任务。目前主要装备中国空军、越南空军及印度空军等。	"
歼-8Ⅲ战斗机,"
	歼8Ⅲ战斗机，是歼-8类型飞机的一个亚型，歼-8类型飞机是上世纪70年代是由中国沈阳飞机研究所和沈阳飞机制造公司研制和生产的高空高速战斗机。歼8Ⅲ战斗机的特点是加装鸭翼，在执行空战时，歼8Ⅲ最多可携带8枚空空导弹(4枚中距，4枚格斗导弹)，雷达采用的是以色列的射控雷达，具有多目标攻击能力，同时还装备有红外跟踪瞄准系统，并与头盔瞄准系统相配合，增加了导弹攻击的准确性。	"
歼-8Ⅱe,"
	歼-8Ⅱ（北约代号：长须鲸，英文：Finback）歼击机，是沈阳飞机工业公司研发的歼-8改进型高空高速战斗机。歼-8Ⅱ摒弃了机头进气的气动外形，采用机体两侧进气道，便于机头安装机载雷达，提高了战机的作战效能。该型机的机载设备有了一定的改进：加装了563B惯导，JD-3II塔康，改善了导航性能；换装J8IIHK-13E平显，并与惯导、塔康、定向仪等交联，实现了综合显示；加装了RKL800A组合电子对抗系统；换装了YX5飞行员供氧系统；换装了HTY-4A救生系统，可实现零高度，0-1100千米/小时速度的安全救生。	"
歼-8D,"
	歼-8战斗机有很多种改型，沈飞在歼-8Ⅱ基础上又先后开发出歼-8IIM、歼-8III、歼-8D、歼-8F、歼-8T等改进型号。歼-8D是歼-8B的改进型，空军和海航的许多歼-8D基本都是在原有的歼-8B上改进而来的，部分D型的垂尾顶端的有与E型相同的雷达告警天线。歼-8D在歼-8B的基础上换装了新型的雷达（国产SL-5A，后期据说部分换装了KJL-1），换装了较多的航电设备。	"
中国歼-8T战斗机,"
	歼-8（英文：Shenyang J-8或F-8，北约代号：Finback，中文：长须鲸）战斗机，是中国沈阳飞机工业(集团)有限公司（简称：沈飞）在上个世纪60年代开始设计研制的双发高空高速截击战斗机（歼击机），是中国空军和中国海军航空兵上世纪80年代至本世纪初主力战斗机种之一，现正逐步退役，被歼-10和歼-11所取代。歼-8设计上参考了苏制米格-21战斗机（歼-7），装备两台WP-7甲涡喷发动机，加长了机头，提高高空战斗能力。歼-8原型机1969年7月5日首飞成功，1979年完成设计定型，1980年开始服役；由于早期歼-8不具备全天候作战能力，沈飞于70年代末开始研制歼-8的全天候型，改良火控雷达等电子设备；机舱盖、座椅、氧气系统和组合仪表重新设计，改装武器系统等，成为歼-8Ⅰ；80年代，沈飞又开发出歼-8Ⅰ的升级型号歼-8Ⅱ。该型号改为使用推力进一步增大的涡喷-13A（WP-13A）发动机，改用两侧进气布局，从而腾出机头空间安装更大的火控雷达和更多的电子设备。中国人民解放军从2011年开始除役老旧的歼-8。截止2011年，在中国空军及海军航空兵中，仍在服役的歼-8战斗机约300架。	"
歼-8Ⅱ,"
	歼-8Ⅱ（北约代号：长须鲸，英文：Finback）歼击机，是沈阳飞机工业公司研发的歼-8改进型高空高速战斗机。歼-8Ⅱ摒弃了机头进气的气动外形，采用机体两侧进气道，便于机头安装机载雷达，提高了战机的作战效能。1984年6月12日，歼-8Ⅱ原型机首飞成功。1988年3月18日设计定型，同年10月15日，军工产品定型委员会正式批准歼-8Ⅱ飞机设计定型。歼-8Ⅱ具有发射超视距空空导弹的能力，同时也具有一定的对地攻击能力。	"
歼-8战斗机,"
	歼-8（英文：Shenyang J-8或F-8，北约代号：Finback，中文：长须鲸）战斗机，是中国沈阳飞机工业(集团)有限公司（简称：沈飞）在上个世纪60年代开始设计研制的双发高空高速截击战斗机（歼击机），是中国空军和中国海军航空兵上世纪80年代至本世纪初主力战斗机种之一，现正逐步退役，被歼-10和歼-11所取代。歼-8设计上参考了苏制米格-21战斗机（歼-7），装备两台WP-7甲涡喷发动机，加长了机头，提高高空战斗能力。歼-8原型机1969年7月5日首飞成功，1979年完成设计定型，1980年开始服役；由于早期歼-8不具备全天候作战能力，沈飞于70年代末开始研制歼-8的全天候型，改良火控雷达等电子设备；机舱盖、座椅、氧气系统和组合仪表重新设计，改装武器系统等，成为歼-8Ⅰ；80年代，沈飞又开发出歼-8Ⅰ的升级型号歼-8Ⅱ。该型号改为使用推力进一步增大的涡喷-13A（WP-13A）发动机，改用两侧进气布局，从而腾出机头空间安装更大的火控雷达和更多的电子设备。中国人民解放军从2011年开始除役老旧的歼-8。截止2011年，在中国空军及海军航空兵中，仍在服役的歼-8战斗机约300架。	"
歼-7战斗机,"
	歼-7（英文：Chengdu J-7或F-7，北约代号：Fishbed，中文：鱼窝）战斗机，是上世纪60年代中国沈阳飞机制造厂（后转产至成都飞机制造厂和贵州飞机制造厂）制造的单座单发超音速喷气战斗机。该机参照苏联的米格-21Ф-13型仿制和发展。歼-7是中国研发的第一种两倍音速喷气战斗机，大量装备中国空军和海军航空兵，主要用于国土防空和夺取战场前线制空权，也可以执行对地攻击任务，属于典型的第二代战斗机。歼-7的技术特点是突出高空、高速特性，具有轻小灵活的特点，低成本、高效率和使用维护简单等
。歼-7战斗机曾批量出口到世界多个国家
。	"
歼-6战斗机,"
	歼-6（英文：Shenyang J-6或F-6，北约代号：Farmer，中文：农夫）战斗机，是中国沈阳飞机制造工业公司制造的单座双发超音速喷气式战斗机，主要用于国土防空和夺取前线局部制空权，也可执行一定的对地攻击任务。歼-6是中国根据前苏联米格-19仿制和发展的制空战斗机，1958年初开始研制，1960年投入批生产，1964年首批歼-6战斗机交付中国空军使用，到1983年停产，共生产了5205架
。该机是中国第一种超音速战斗机，曾是解放军空军和海军航空兵装备数量最多、服役时间最长、战果最辉煌的中国产第一代喷气式战斗机。在各次实战中，歼-6共击落20多架各型战机，而自己没有一架被击落。2010年6月12日歼-6战斗机正式退出中国空军装备序列
。	"
歼-6攻击无人机,"
	歼-6攻击无人机，歼-6是中国沈阳飞机制造公司制造的单座双发超音速战斗机，是60年代至70年代中国空军的主力歼击机，可以用于国土防空和夺取前线局部制空权，歼—6可以按照事先设定的航线、高度实施飞行，航程与有人驾驶歼—6战机相同，在空战中遥控的无人战机能消耗台军的防空导弹，同时歼—6型无人战机还具备攻击能力。	"
